route,crs_dep_hour,airtime_mean
ACY_FLL,20,135.38078291814946
ACY_FLL,21,131.27272727272728
ACY_MCO,5,113.43333333333334
ACY_MCO,6,122.79899497487438
ACY_MCO,7,117.54929577464786
ACY_MCO,8,115.32596685082873
ACY_MCO,9,117.36666666666666
ACY_MCO,10,117.0
ACY_MCO,11,120.17142857142858
ACY_MCO,12,115.45454545454544
ACY_MCO,13,130.26470588235293
ACY_MCO,14,120.83221476510067
ACY_MCO,15,122.61111111111111
ACY_MCO,16,120.06666666666666
ACY_MCO,17,123.29113924050633
ACY_MCO,18,119.23899371069184
ACY_MCO,19,116.37
ACY_MCO,20,117.46666666666668
ACY_MCO,21,117.70588235294116
ACY_MIA,5,136.46153846153845
ACY_MIA,6,139.32142857142858
ACY_MIA,8,148.0
ACY_MIA,10,142.5483870967742
ACY_MIA,11,147.75
ACY_MIA,14,140.8
ACY_MSY,14,150.4025974025974
ACY_MYR,6,69.08130081300813
ACY_MYR,7,69.04106776180699
ACY_MYR,8,67.66
ACY_MYR,9,67.6896551724138
ACY_MYR,10,69.8076923076923
ACY_MYR,11,73.5
ACY_MYR,12,68.80952380952381
ACY_MYR,14,70.0
ACY_MYR,17,70.28
ACY_MYR,19,68.70833333333333
ACY_MYR,20,75.0
ACY_MYR,21,82.0
ACY_MYR,22,72.77777777777777
ACY_PBI,6,131.9
ACY_PBI,7,128.125
ACY_PBI,9,130.74074074074073
ACY_PBI,10,128.33333333333334
ACY_PBI,11,140.8
ACY_PBI,12,134.69387755102042
ACY_PBI,13,134.2872340425532
ACY_PBI,14,132.5
ACY_PBI,15,137.9090909090909
ACY_PBI,16,131.25242718446603
ACY_PBI,17,133.5
ACY_PBI,19,137.0
ACY_RSW,5,145.17391304347825
ACY_RSW,6,144.9738562091503
ACY_RSW,7,139.02857142857144
ACY_RSW,8,147.1
ACY_RSW,9,138.21052631578948
ACY_RSW,10,142.64788732394365
ACY_RSW,11,140.55555555555554
ACY_RSW,12,139.2972972972973
ACY_RSW,13,144.30555555555554
ACY_RSW,14,140.33333333333334
ACY_RSW,15,140.5151515151515
ACY_RSW,16,145.52325581395348
ACY_RSW,17,142.44736842105263
ACY_RSW,18,134.98067632850243
ACY_RSW,19,136.9
ACY_RSW,20,134.3030303030303
ACY_TPA,6,123.44489795918368
ACY_TPA,7,126.67605633802818
ACY_TPA,8,129.21428571428572
ACY_TPA,9,126.54166666666669
ACY_TPA,10,134.2888888888889
ACY_TPA,11,134.44615384615383
ACY_TPA,12,129.51304347826087
ACY_TPA,13,134.11764705882354
ACY_TPA,14,128.26315789473685
ACY_TPA,15,128.4
ACY_TPA,16,126.33333333333331
ACY_TPA,18,130.04545454545453
ACY_TPA,19,124.85714285714286
